Color0,Color45,Color90,Color135,Color180,Color225,Color270,Color315,Cueresp,target_angle,load,delay,trial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,pos0.started,pos0.stopped,pos45.started,pos45.stopped,pos90.started,pos90.stopped,pos135.started,pos135.stopped,pos180.started,pos180.stopped,pos225.started,pos225.stopped,pos270.started,pos270.stopped,pos315.started,pos315.stopped,response.started,response.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,text.started,text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,14.992430400001467,None,space,0.010838599999260623,19.955512699998508,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`PEPITA,2021_Apr_09_0030,working memory,3.2.3,59.86633045792516,
"[1, 1, -1]","[1, 1, 1]","[1, -1, -1]","[0, 0, 0]","[1, -1, 1]","[-1, 1, 1]","[-1, 1, -1]","[-1, -1, 1]","[1, -1, 1]",180,7,2,2,0,0,0,10,,,,,,,20.102015600001323,25.103602399998636,20.102015600001323,25.103602399998636,20.102015600001323,25.103602399998636,20.102015600001323,25.103602399998636,20.102015600001323,25.103602399998636,20.102015600001323,25.103602399998636,20.102015600001323,25.103602399998636,20.102015600001323,25.103602399998636,27.086187499997322,None,-0.3731481481481482,-0.07685185185185185,1,0,0,13.450945600001432,7.005472299999383,None,20.102015600001323,None,`PEPITA,2021_Apr_09_0030,working memory,3.2.3,59.86633045792516,
"[1, -1, -1]","[-1, -1, 1]","[1, -1, 1]","[1, 1, 1]","[-1, 1, -1]","[1, 1, -1]","[-1, 1, 1]","[0, 0, 0]","[-1, -1, 1]",45,7,2,5,0,1,1,13,,,,,,,28.450764300003357,33.451103699997475,28.450764300003357,33.451103699997475,28.450764300003357,33.451103699997475,28.450764300003357,33.451103699997475,28.450764300003357,33.451103699997475,28.450764300003357,33.451103699997475,28.450764300003357,33.451103699997475,28.450764300003357,33.451103699997475,35.43344390000129,None,0.3,0.22962962962962963,1,0,0,21.811061400003382,7.004969649999111,None,28.450764300003357,None,`PEPITA,2021_Apr_09_0030,working memory,3.2.3,59.86633045792516,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[1, -1, 1]","[-1, 1, 1]","[0, 0, 0]","[1, -1, 1]",225,3,2,5,0,2,2,5,,,,,,,36.79584489999979,41.79833060000237,36.79584489999979,41.79833060000237,36.79584489999979,41.79833060000237,36.79584489999979,41.79833060000237,36.79584489999979,41.79833060000237,36.79584489999979,41.79833060000237,36.79584489999979,41.79833060000237,36.79584489999979,41.79833060000237,43.78060070000356,None,-0.25,-0.2111111111111111,1,0,0,30.094074000000546,7.008225099998526,None,36.79584489999979,None,`PEPITA,2021_Apr_09_0030,working memory,3.2.3,59.86633045792516,
