Color1,Color2,Color3,Color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,pos0.started,pos0.stopped,pos90.started,pos90.stopped,pos180.started,pos180.stopped,pos270.started,pos270.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.started,mouse_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.54842439999993,None,space,0.579973500000051,19.499552200000835,None,,,,,,,,,,,,,,,,,,,,,,,,jjj,2021_Apr_08_1647,working memory,3.2.3,59.97533814081148,
"[1, 1, 0]","[1, 1, 1]","[0, 0, 1]","[0, 0, 0]",0,0,0,0,,,,,,,-0.35833333333333334,-0.003703703703703704,1,0,0,0.005550649999349844,None,20.1681120000012,None,20.1681120000012,None,20.1681120000012,None,20.1681120000012,None,[],[],[],[],[],[],None,None,jjj,2021_Apr_08_1647,working memory,3.2.3,59.97533814081148,
"[1, 1, 0]","[1, 1, 1]","[1, 0.5, 1]","[1, 1, 0]",0,1,1,1,,,,,,,-0.35833333333333334,-0.003703703703703704,1,0,0,0.00735823000104574,None,21.16554670000005,22.165135300001566,21.16554670000005,23.164876300001197,21.16554670000005,22.165135300001566,21.16554670000005,22.165135300001566,[],[],[],[],[],[],1.5145527300010144,None,jjj,2021_Apr_08_1647,working memory,3.2.3,59.97533814081148,
"[1, 1, 0]","[1, 1, 1]","[1, 1, 1]","[128, 128, 128]",0,2,2,2,,,,,,,-0.35833333333333334,-0.003703703703703704,1,0,0,0.0049387300005037105,None,29.231314600001497,None,29.231314600001497,None,29.231314600001497,None,29.231314600001497,None,[],[],[],[],[],[],None,None,jjj,2021_Apr_08_1647,working memory,3.2.3,59.97533814081148,
