Color0,Color45,Color90,Color135,Color180,Color225,Color270,Color315,Cueresp,target_angle,load,delay,trial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,pos0.started,pos0.stopped,pos45.started,pos45.stopped,pos90.started,pos90.stopped,pos135.started,pos135.stopped,pos180.started,pos180.stopped,pos225.started,pos225.stopped,pos270.started,pos270.stopped,pos315.started,pos315.stopped,response.started,response.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,text.started,text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,10.29711479999969,None,space,0.8136683000047924,15.264104900001257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lolita,2021_Apr_09_0026,working memory,3.2.3,59.83495126922486,
"[1, -1, -1]","[-1, -1, 1]","[1, -1, 1]","[1, 1, 1]","[-1, 1, -1]","[1, 1, -1]","[-1, 1, 1]","[0, 0, 0]","[-1, -1, 1]",45,7,2,5,0,0,0,13,,,,,,,16.137165399995865,21.144952800001192,16.137165399995865,21.144952800001192,16.137165399995865,21.144952800001192,16.137165399995865,21.144952800001192,16.137165399995865,21.144952800001192,16.137165399995865,21.144952800001192,16.137165399995865,21.144952800001192,16.137165399995865,21.144952800001192,23.144910700000764,None,0.2638888888888889,0.26944444444444443,1,0,0,1.5677445999972406,7.0154277100009494,None,16.137165399995865,None,lolita,2021_Apr_09_0026,working memory,3.2.3,59.83495126922486,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[-1, -1, 1]","[1, 1, -1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]",135,3,2,4,0,1,1,4,,,,,,,24.72738979999849,29.74233159999858,24.72738979999849,29.74233159999858,24.72738979999849,29.74233159999858,24.72738979999849,29.74233159999858,24.72738979999849,29.74233159999858,24.72738979999849,29.74233159999858,24.72738979999849,29.74233159999858,24.72738979999849,29.74233159999858,31.7248322000014,None,-0.30185185185185187,0.2824074074074074,1,0,0,0.901388099999167,7.015250669996021,None,24.72738979999849,None,lolita,2021_Apr_09_0026,working memory,3.2.3,59.83495126922486,
