Color1,Color2,Color3,Color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,pos0.started,pos0.stopped,pos90.started,pos90.stopped,pos180.started,pos180.stopped,pos270.started,pos270.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.started,mouse_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.875218799999857,None,space,0.009308599999712897,17.831304100000125,None,,,,,,,,,,,,,,,,,,,,,,,,kk,2021_Apr_08_1649,working memory,3.2.3,60.00078000996763,
"[0, 0, 1]","[1, 0.5, 1]","[0, 0, 1]","[1, 1, 1]",0,0,0,0,,,,,,,-0.1537037037037037,0.12685185185185185,1,0,0,0.015521800001806696,None,18.00664929999948,20.013900699999795,18.00664929999948,20.013900699999795,18.00664929999948,20.013900699999795,18.00664929999948,20.013900699999795,[],[],[],[],[],[],1.514199400002326,None,kk,2021_Apr_08_1649,working memory,3.2.3,60.00078000996763,
"[0, 0, 1]","[1, 0.5, 1]","[1, 0.5, 1]","[1, 1, 1]",0,1,1,1,,,,,,,-0.1537037037037037,0.12685185185185185,1,0,0,0.013605560001451522,None,22.372922200000176,24.379403299999467,22.372922200000176,24.379403299999467,22.372922200000176,24.379403299999467,22.372922200000176,24.379403299999467,[],[],[],[],[],[],1.510278460002155,None,kk,2021_Apr_08_1649,working memory,3.2.3,60.00078000996763,
"[0, 0, 1]","[1, 0.5, 1]","[1, 1, 1]","[1, 1, 1]",0,2,2,2,,,,,,,-0.1537037037037037,0.12685185185185185,1,0,0,0.004410229999848525,None,25.88152489999993,27.894421499999225,25.88152489999993,27.894421499999225,25.88152489999993,27.894421499999225,25.88152489999993,27.894421499999225,[],[],[],[],[],[],1.5087826300004963,None,kk,2021_Apr_08_1649,working memory,3.2.3,60.00078000996763,
