Color0,Color45,Color90,Color135,Color180,Color225,Color270,Color315,Cueresp,delays,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,pos0.started,pos0.stopped,pos45.started,pos45.stopped,pos90.started,pos90.stopped,pos135.started,pos135.stopped,pos180.started,pos180.stopped,pos225.started,pos225.stopped,pos270.started,pos270.stopped,pos315.started,pos315.stopped,response.started,response.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,21.743743099999847,None,space,5.937036499999522,26.71104700000069,None,,,,,,,,,,,,,,,,,,,jojo,2021_Apr_08_1725,working memory,3.2.3,59.96253540836955,
"[1, 1, 0]","[1, 1, 1]","[0, 0, 1]","[0, 0, 0]","[1, 1, 0]","[1, 1, 0]","[1, 1, 0]","[0, 0, 0]","[1, 1, 0]",4,0,0,0,0,,,,,,,32.79070519999914,34.79151189999902,32.79070519999914,34.79151189999902,32.79070519999914,34.79151189999902,32.79070519999914,34.79151189999902,32.79070519999914,34.79151189999902,32.79070519999914,34.79151189999902,32.79070519999914,34.79151189999902,32.79070519999914,34.79151189999902,32.79070519999914,None,jojo,2021_Apr_08_1725,working memory,3.2.3,59.96253540836955,
"[1, 1, 1]","[1, 0.5, 1]","[1, 0.5, 1]","[1, 1, 0]","[1, 1, 0]","[0, 0, 0]","[1, 0.5, 1]","[1, 1, 0]","[1, 0.5, 1]",3,0,1,1,1,,,,,,,36.80529580000075,38.806899400000475,36.80529580000075,38.806899400000475,36.80529580000075,38.806899400000475,36.80529580000075,38.806899400000475,36.80529580000075,38.806899400000475,36.80529580000075,38.806899400000475,36.80529580000075,38.806899400000475,36.80529580000075,38.806899400000475,36.80529580000075,36.80529580000075,jojo,2021_Apr_08_1725,working memory,3.2.3,59.96253540836955,
"[0, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[1, 1, 0]","[1, 1, 0]",4,0,2,2,2,,,,,,,40.81874380000045,42.822540400000435,40.81874380000045,42.822540400000435,40.81874380000045,42.822540400000435,40.81874380000045,42.822540400000435,40.81874380000045,42.822540400000435,40.81874380000045,42.822540400000435,40.81874380000045,42.822540400000435,40.81874380000045,42.822540400000435,40.81874380000045,40.81874380000045,jojo,2021_Apr_08_1725,working memory,3.2.3,59.96253540836955,
