Color0,Color45,Color90,Color135,Color180,Color225,Color270,Color315,Cueresp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,pos0.started,pos0.stopped,pos45.started,pos45.stopped,pos90.started,pos90.stopped,pos135.started,pos135.stopped,pos180.started,pos180.stopped,pos225.started,pos225.stopped,pos270.started,pos270.stopped,pos315.started,pos315.stopped,response.started,response.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,15.009092000000237,None,space,0.6438022000002093,19.96482350000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,lolo,2021_Apr_08_1730,working memory,3.2.3,59.98512368974439,
"[1, 1, 0]","[1, 1, 1]","[0, 0, 1]","[0, 0, 0]","[1, 1, 0]","[1, 1, 0]","[1, 1, 0]","[0, 0, 0]","[1, 1, 0]",0,0,0,0,,,,,,,20.791203299999324,25.79614860000038,20.791203299999324,25.79614860000038,20.791203299999324,25.79614860000038,20.791203299999324,25.79614860000038,20.791203299999324,25.79614860000038,20.791203299999324,25.79614860000038,20.791203299999324,25.79614860000038,20.791203299999324,25.79614860000038,27.778967199999897,None,-0.1925925925925926,-0.27685185185185185,1,0,0,7.00241669999923,None,lolo,2021_Apr_08_1730,working memory,3.2.3,59.98512368974439,
"[1, 1, 1]","[1, 0.5, 1]","[1, 0.5, 1]","[1, 1, 0]","[1, 1, 0]","[0, 0, 0]","[1, 0.5, 1]","[1, 1, 0]","[1, 0.5, 1]",0,1,1,1,,,,,,,32.0695326999994,37.075662100000045,32.0695326999994,37.075662100000045,32.0695326999994,37.075662100000045,32.0695326999994,37.075662100000045,32.0695326999994,37.075662100000045,32.0695326999994,37.075662100000045,32.0695326999994,37.075662100000045,32.0695326999994,37.075662100000045,39.074772300000404,None,0.25555555555555554,0.2601851851851852,1,0,0,7.014082079998843,None,lolo,2021_Apr_08_1730,working memory,3.2.3,59.98512368974439,
"[0, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[1, 1, 0]","[1, 1, 0]",0,2,2,2,,,,,,,40.703705199999604,45.70604579999963,40.703705199999604,45.70604579999963,40.703705199999604,45.70604579999963,40.703705199999604,45.70604579999963,40.703705199999604,45.70604579999963,40.703705199999604,45.70604579999963,40.703705199999604,45.70604579999963,40.703705199999604,45.70604579999963,47.68845209999927,None,-0.22407407407407406,0.2212962962962963,1,0,0,7.005987179998556,None,lolo,2021_Apr_08_1730,working memory,3.2.3,59.98512368974439,
