6.9696 	EXP 	Created response = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-8.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='response', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
6.9792 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='+', units='height', win=Window(...), wrapWidth=1)
6.9828 	EXP 	Created pos0_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=0.005, name='pos0_2', opacity=1.0, ori=array(90.), pos=array([0.5, 0. ]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
6.9863 	EXP 	Created pos45_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='pos45_2', opacity=1.0, ori=array(0.), pos=array([0.25, 0.25]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
6.9899 	EXP 	Created pos90_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=0.005, name='pos90_2', opacity=1.0, ori=array(0.), pos=array([0. , 0.4]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
6.9935 	EXP 	Created pos135_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-3.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='pos135_2', opacity=1.0, ori=array(0.), pos=array([-0.25,  0.25]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
6.9976 	EXP 	Created pos180_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-4.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='pos180_2', opacity=1.0, ori=array(0.), pos=array([-0.5,  0. ]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
7.0014 	EXP 	Created pos225_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-5.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='pos225_2', opacity=1.0, ori=array(0.), pos=array([-0.25, -0.25]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
7.0050 	EXP 	Created pos270_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-6.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='pos270_2', opacity=1.0, ori=array(0.), pos=array([ 0. , -0.4]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
7.0090 	EXP 	Created pos315_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-7.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='pos315_2', opacity=1.0, ori=array(0.), pos=array([ 0.25, -0.25]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
7.0125 	EXP 	Created response_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-8.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='response_2', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
7.0148 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='+', units='height', win=Window(...), wrapWidth=1)
7.0276 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Calibri', fontFiles=[], height=0.025, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
7.0661 	EXP 	text_3: autoDraw = True
18.4951 	EXP 	Imported trials_short_delay.xlsx as conditions, 16 conditions, 13 params
18.4953 	EXP 	Created sequence: sequential, trialTypes=16, nReps=1, seed=None
18.4956 	EXP 	New trial (rep=0, index=0): OrderedDict([('Color0', [0, 0, 0]), ('Color45', [0, 0, 0]), ('Color90', [-1, 1, 1]), ('Color135', [0, 0, 0]), ('Color180', [1, -1, 1]), ('Color225', [0, 0, 0]), ('Color270', [0, 0, 0]), ('Color315', [-1, -1, 1]), ('Cueresp', [-1, -1, 1]), ('target_angle', 315), ('load', 3), ('delay', 2), ('trial', 0)])
18.5015 	DATA 	Keypress: space
18.5046 	EXP 	text_3: autoDraw = False
18.5046 	EXP 	pos0: fillColor = '[0. 0. 0.] (rgb)'
18.5046 	EXP 	pos0: lineColor = '[0. 0. 0.] (rgb)'
18.5046 	EXP 	pos45: fillColor = '[0. 0. 0.] (rgb)'
18.5046 	EXP 	pos45: lineColor = '[0. 0. 0.] (rgb)'
18.5046 	EXP 	pos90: fillColor = '[-1.  1.  1.] (rgb)'
18.5046 	EXP 	pos90: lineColor = '[-1.  1.  1.] (rgb)'
18.5046 	EXP 	pos135: fillColor = '[0. 0. 0.] (rgb)'
18.5046 	EXP 	pos135: lineColor = '[0. 0. 0.] (rgb)'
18.5046 	EXP 	pos180: fillColor = '[ 1. -1.  1.] (rgb)'
18.5046 	EXP 	pos180: lineColor = '[ 1. -1.  1.] (rgb)'
18.5046 	EXP 	pos225: fillColor = '[0. 0. 0.] (rgb)'
18.5046 	EXP 	pos225: lineColor = '[0. 0. 0.] (rgb)'
18.5046 	EXP 	pos270: fillColor = '[0. 0. 0.] (rgb)'
18.5046 	EXP 	pos270: lineColor = '[0. 0. 0.] (rgb)'
18.5046 	EXP 	pos315: fillColor = '[-1. -1.  1.] (rgb)'
18.5046 	EXP 	pos315: lineColor = '[-1. -1.  1.] (rgb)'
18.5046 	EXP 	response: fillColor = '[-1. -1.  1.] (rgb)'
18.5046 	EXP 	response: lineColor = '[-1. -1.  1.] (rgb)'
18.5046 	EXP 	pos0: autoDraw = True
18.5046 	EXP 	pos45: autoDraw = True
18.5046 	EXP 	pos90: autoDraw = True
18.5046 	EXP 	pos135: autoDraw = True
18.5046 	EXP 	pos180: autoDraw = True
18.5046 	EXP 	pos225: autoDraw = True
18.5046 	EXP 	pos270: autoDraw = True
18.5046 	EXP 	pos315: autoDraw = True
18.5046 	EXP 	text: autoDraw = True
23.5193 	EXP 	pos0: autoDraw = False
23.5193 	EXP 	pos45: autoDraw = False
23.5193 	EXP 	pos90: autoDraw = False
23.5193 	EXP 	pos135: autoDraw = False
23.5193 	EXP 	pos180: autoDraw = False
23.5193 	EXP 	pos225: autoDraw = False
23.5193 	EXP 	pos270: autoDraw = False
23.5193 	EXP 	pos315: autoDraw = False
25.5017 	EXP 	response: autoDraw = True
27.1030 	DATA 	Mouse: Left button down, pos=(1329,264)
27.1121 	EXP 	New trial (rep=0, index=1): OrderedDict([('Color0', [1, 1, -1]), ('Color45', [1, -1, -1]), ('Color90', [0, 0, 0]), ('Color135', [0, 0, 0]), ('Color180', [0, 0, 0]), ('Color225', [0, 0, 0]), ('Color270', [0, 0, 0]), ('Color315', [-1, 1, -1]), ('Cueresp', [-1, 1, -1]), ('target_angle', 315), ('load', 3), ('delay', 2), ('trial', 1)])
27.1228 	EXP 	pos0: autoDraw = False
27.1228 	EXP 	pos45: autoDraw = False
27.1228 	EXP 	pos90: autoDraw = False
27.1228 	EXP 	pos135: autoDraw = False
27.1228 	EXP 	pos180: autoDraw = False
27.1228 	EXP 	pos225: autoDraw = False
27.1228 	EXP 	pos270: autoDraw = False
27.1228 	EXP 	pos315: autoDraw = False
27.1228 	EXP 	response: autoDraw = False
27.1228 	EXP 	text: autoDraw = False
27.1228 	EXP 	pos0: fillColor = '[ 1.  1. -1.] (rgb)'
27.1228 	EXP 	pos0: lineColor = '[ 1.  1. -1.] (rgb)'
27.1228 	EXP 	pos45: fillColor = '[ 1. -1. -1.] (rgb)'
27.1228 	EXP 	pos45: lineColor = '[ 1. -1. -1.] (rgb)'
27.1228 	EXP 	pos90: fillColor = '[0. 0. 0.] (rgb)'
27.1228 	EXP 	pos90: lineColor = '[0. 0. 0.] (rgb)'
27.1228 	EXP 	pos135: fillColor = '[0. 0. 0.] (rgb)'
27.1228 	EXP 	pos135: lineColor = '[0. 0. 0.] (rgb)'
27.1228 	EXP 	pos180: fillColor = '[0. 0. 0.] (rgb)'
27.1228 	EXP 	pos180: lineColor = '[0. 0. 0.] (rgb)'
27.1228 	EXP 	pos225: fillColor = '[0. 0. 0.] (rgb)'
27.1228 	EXP 	pos225: lineColor = '[0. 0. 0.] (rgb)'
27.1228 	EXP 	pos270: fillColor = '[0. 0. 0.] (rgb)'
27.1228 	EXP 	pos270: lineColor = '[0. 0. 0.] (rgb)'
27.1228 	EXP 	pos315: fillColor = '[-1.  1. -1.] (rgb)'
27.1228 	EXP 	pos315: lineColor = '[-1.  1. -1.] (rgb)'
27.1228 	EXP 	response: fillColor = '[-1.  1. -1.] (rgb)'
27.1228 	EXP 	response: lineColor = '[-1.  1. -1.] (rgb)'
27.1228 	EXP 	pos0: autoDraw = True
27.1228 	EXP 	pos45: autoDraw = True
27.1228 	EXP 	pos90: autoDraw = True
27.1228 	EXP 	pos135: autoDraw = True
27.1228 	EXP 	pos180: autoDraw = True
27.1228 	EXP 	pos225: autoDraw = True
27.1228 	EXP 	pos270: autoDraw = True
27.1228 	EXP 	pos315: autoDraw = True
27.1228 	EXP 	text: autoDraw = True
27.2212 	DATA 	Mouse:  Left button up, pos=(1329,264)
32.1325 	EXP 	pos0: autoDraw = False
32.1325 	EXP 	pos45: autoDraw = False
32.1325 	EXP 	pos90: autoDraw = False
32.1325 	EXP 	pos135: autoDraw = False
32.1325 	EXP 	pos180: autoDraw = False
32.1325 	EXP 	pos225: autoDraw = False
32.1325 	EXP 	pos270: autoDraw = False
32.1325 	EXP 	pos315: autoDraw = False
34.1151 	EXP 	response: autoDraw = True
36.0820 	DATA 	Mouse: Left button down, pos=(1235,259)
36.0850 	EXP 	New trial (rep=0, index=2): OrderedDict([('Color0', [0, 0, 0]), ('Color45', [0, 0, 0]), ('Color90', [1, 1, -1]), ('Color135', [1, 1, 1]), ('Color180', [0, 0, 0]), ('Color225', [0, 0, 0]), ('Color270', [1, -1, -1]), ('Color315', [0, 0, 0]), ('Cueresp', [1, 1, -1]), ('target_angle', 90), ('load', 3), ('delay', 2), ('trial', 2)])
36.0984 	EXP 	pos0: autoDraw = False
36.0984 	EXP 	pos45: autoDraw = False
36.0984 	EXP 	pos90: autoDraw = False
36.0984 	EXP 	pos135: autoDraw = False
36.0984 	EXP 	pos180: autoDraw = False
36.0984 	EXP 	pos225: autoDraw = False
36.0984 	EXP 	pos270: autoDraw = False
36.0984 	EXP 	pos315: autoDraw = False
36.0984 	EXP 	response: autoDraw = False
36.0984 	EXP 	text: autoDraw = False
36.0984 	EXP 	pos0: fillColor = '[0. 0. 0.] (rgb)'
36.0984 	EXP 	pos0: lineColor = '[0. 0. 0.] (rgb)'
36.0984 	EXP 	pos45: fillColor = '[0. 0. 0.] (rgb)'
36.0984 	EXP 	pos45: lineColor = '[0. 0. 0.] (rgb)'
36.0984 	EXP 	pos90: fillColor = '[ 1.  1. -1.] (rgb)'
36.0984 	EXP 	pos90: lineColor = '[ 1.  1. -1.] (rgb)'
36.0984 	EXP 	pos135: fillColor = '[1. 1. 1.] (rgb)'
36.0984 	EXP 	pos135: lineColor = '[1. 1. 1.] (rgb)'
36.0984 	EXP 	pos180: fillColor = '[0. 0. 0.] (rgb)'
36.0984 	EXP 	pos180: lineColor = '[0. 0. 0.] (rgb)'
36.0984 	EXP 	pos225: fillColor = '[0. 0. 0.] (rgb)'
36.0984 	EXP 	pos225: lineColor = '[0. 0. 0.] (rgb)'
36.0984 	EXP 	pos270: fillColor = '[ 1. -1. -1.] (rgb)'
36.0984 	EXP 	pos270: lineColor = '[ 1. -1. -1.] (rgb)'
36.0984 	EXP 	pos315: fillColor = '[0. 0. 0.] (rgb)'
36.0984 	EXP 	pos315: lineColor = '[0. 0. 0.] (rgb)'
36.0984 	EXP 	response: fillColor = '[ 1.  1. -1.] (rgb)'
36.0984 	EXP 	response: lineColor = '[ 1.  1. -1.] (rgb)'
36.0984 	EXP 	pos0: autoDraw = True
36.0984 	EXP 	pos45: autoDraw = True
36.0984 	EXP 	pos90: autoDraw = True
36.0984 	EXP 	pos135: autoDraw = True
36.0984 	EXP 	pos180: autoDraw = True
36.0984 	EXP 	pos225: autoDraw = True
36.0984 	EXP 	pos270: autoDraw = True
36.0984 	EXP 	pos315: autoDraw = True
36.0984 	EXP 	text: autoDraw = True
36.2020 	DATA 	Mouse:  Left button up, pos=(1235,259)
