Color0,Color45,Color90,Color135,Color180,Color225,Color270,Color315,Cueresp,target_angle,load,delay,trial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,pos0.started,pos0.stopped,pos45.started,pos45.stopped,pos90.started,pos90.stopped,pos135.started,pos135.stopped,pos180.started,pos180.stopped,pos225.started,pos225.stopped,pos270.started,pos270.stopped,pos315.started,pos315.stopped,response.started,response.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text.started,text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,8.894296999998915,None,space,2.26383160000114,13.866312599995581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,koko,2021_Apr_09_0007,working memory,3.2.3,59.84931140507325,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[-1, -1, 1]","[1, 1, -1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]",135,3,2,4,0,0,0,4,,,,,,,16.19832850000239,21.213256999995792,16.19832850000239,21.213256999995792,16.19832850000239,21.213256999995792,16.19832850000239,21.213256999995792,16.19832850000239,21.213256999995792,16.19832850000239,21.213256999995792,16.19832850000239,21.213256999995792,16.19832850000239,21.213256999995792,23.195618699995975,None,-0.21481481481481482,0.22870370370370371,1,0,0,7.01139167999645,None,16.19832850000239,None,koko,2021_Apr_09_0007,working memory,3.2.3,59.84931140507325,
"[1, 1, -1]","[1, -1, -1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, -1]","[-1, 1, -1]",315,3,2,1,0,1,1,1,,,,,,,24.652338499996404,29.660515299998224,24.652338499996404,29.660515299998224,24.652338499996404,29.660515299998224,24.652338499996404,29.660515299998224,24.652338499996404,29.660515299998224,24.652338499996404,29.660515299998224,24.652338499996404,29.660515299998224,24.652338499996404,29.660515299998224,31.660389899996517,None,0.33055555555555555,-0.1537037037037037,1,0,0,7.014927570002328,None,24.652338499996404,None,koko,2021_Apr_09_0007,working memory,3.2.3,59.84931140507325,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, 1]","[1, 1, -1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, -1]","[1, 1, -1]",180,3,2,7,0,2,2,7,,,,,,,32.70996929999819,37.72472150000249,32.70996929999819,37.72472150000249,32.70996929999819,37.72472150000249,32.70996929999819,37.72472150000249,32.70996929999819,37.72472150000249,32.70996929999819,37.72472150000249,32.70996929999819,37.72472150000249,32.70996929999819,37.72472150000249,39.690706800000044,None,-0.4064814814814815,0.03148148148148148,1,0,0,7.0030739700087,None,32.70996929999819,None,koko,2021_Apr_09_0007,working memory,3.2.3,59.84931140507325,
