Color1,Color2,Color3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,polygon_1.started,polygon_1.stopped,polygon_2.started,polygon_2.stopped,polygon_3.started,polygon_3.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.started,mouse_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,11.62558750000062,None,space,0.06194639999921492,16.581527800000913,None,,,,,,,,,,,,,,,,,,,,,,kk,2021_Apr_08_1638,working memory,3.2.3,59.99656819614141,
"[1, 1, 0]","[1, 1, 1]","[0, 0, 1]",0,0,0,0,,,,,,,0.19722222222222222,0.07685185185185185,1,0,0,0.009135119998973096,None,16.763415900000837,17.763933400001406,16.763415900000837,17.763933400001406,16.763415900000837,17.763933400001406,[],[],[],[],[],[],1.5011752199989132,None,kk,2021_Apr_08_1638,working memory,3.2.3,59.99656819614141,
"[1, 1, 0]","[1, 1, 1]","[1, 0.5, 1]",0,1,1,1,,,,,,,0.09259259259259259,-0.032407407407407406,1,0,0,0.016391719997045584,None,21.40319930000078,22.412390200001028,21.40319930000078,22.412390200001028,21.40319930000078,22.412390200001028,[],[],[],[],[],[],1.4997291199979372,None,kk,2021_Apr_08_1638,working memory,3.2.3,59.99656819614141,
"[1, 1, 0]","[1, 1, 1]","[1, 1, 1]",0,2,2,2,,,,,,,-0.026851851851851852,-0.027777777777777776,1,0,0,0.014965919999667676,None,26.58567089999997,27.594304700000066,26.58567089999997,27.594304700000066,26.58567089999997,27.594304700000066,[],[],[],[],[],[],1.5132906199996796,None,kk,2021_Apr_08_1638,working memory,3.2.3,59.99656819614141,
