Color1,Color2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,polygon.started,polygon.stopped,polygon_2.started,polygon_2.stopped,bet_text.started,bet_text.stopped,text_min.started,text_min.stopped,text_max.started,text_max.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,11.706033399999797,None,space,1.1498006000001624,16.665979600000355,None,,,,,,,,,,,,,,,,,,kk,2021_Apr_08_1618,working memory,3.2.3,59.78615687421352,
"[1, 1, 0]","[1, 1, 1]",0,0,0,0,,,,,,,-0.125,-0.001851851851851852,1,0,0,0.006318960002317908,None,17.993909100001474,None,17.993909100001474,None,17.993909100001474,None,17.993909100001474,None,17.993909100001474,None,kk,2021_Apr_08_1618,working memory,3.2.3,59.78615687421352,
"[1, 1, 0]","[1, 1, 1]",0,1,1,1,,,,,,,0.09814814814814815,0.09444444444444444,1,0,0,0.01566278000063903,None,26.20619869999973,None,26.20619869999973,None,26.20619869999973,None,26.20619869999973,None,26.20619869999973,None,kk,2021_Apr_08_1618,working memory,3.2.3,59.78615687421352,
"[1, 1, 0]","[1, 1, 1]",0,2,2,2,,,,,,,0.0,-0.2490740740740741,1,0,0,0.006415540001398767,None,27.664967500000785,None,27.664967500000785,None,27.664967500000785,None,27.664967500000785,None,27.664967500000785,None,kk,2021_Apr_08_1618,working memory,3.2.3,59.78615687421352,
