key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,key_resp_2.keys,key_resp_2.rt
,,,,,,,,,,,,,,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,1,1,-1,1,1,315,3,2,3,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,0.261111111,-0.200925926,1,0,0,1,0,16,3,1,15,,
,,,,,,,,,,,,,,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,1,1,1,45,7,2,4,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,0.257407407,0.174074074,1,0,0,1,0,16,12,1,15,,
,,,,,,,,,,,,,,-1,1,-1,-1,-1,1,0,0,0,1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,135,7,2,6,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,-0.237962963,0.234259259,1,0,0,1,0,16,14,1,15,,
,,,,,,,,,,,,,,1,1,-1,-1,1,1,1,1,1,1,-1,1,0,0,0,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,90,7,2,2,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,0.216666667,0.267592593,1,0,0,1,0,16,10,1,15,,
,,,,,,,,,,,,,,-1,1,1,1,1,-1,0,0,0,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,-1,225,7,2,5,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,-0.225925926,-0.178703704,1,0,0,1,0,16,13,1,15,,
,,,,,,,,,,,,,,-1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,1,-1,-1,270,3,2,2,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,0.008333333,-0.346296296,1,0,0,1,0,16,2,1,15,,
,,,,,,,,,,,,,,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,-1,1,1,1,-1,-1,0,3,2,5,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,0.364814815,0.016666667,1,0,0,1,0,16,5,1,15,,
,,,,,,,,,,,,,,0,0,0,1,1,1,1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,45,3,2,7,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,0.19537037,0.308333333,1,0,0,1,0,16,7,1,15,,
,,,,,,,,,,,,,,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,1,1,0,0,0,1,1,-1,0,0,0,-1,1,1,180,3,2,6,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,-0.346296296,0.039814815,1,0,0,1,0,16,6,1,15,,
,,,,,,,,,,,,,,-1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,45,3,2,1,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,0.232407407,0.273148148,1,0,0,1,0,16,1,1,15,,
,,,,,,,,,,,,,,-1,1,1,0,0,0,1,1,1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,1,180,3,2,0,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,-0.416666667,0.019444444,1,0,0,1,0,16,0,1,15,,
,,,,,,,,,,,,,,1,-1,1,-1,-1,1,-1,1,1,1,1,1,0,0,0,-1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,225,7,2,7,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,0.262962963,-0.067592593,1,0,0,1,0,16,15,1,15,,
,,,,,,,,,,,,,,-1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,0,0,0,1,-1,-1,1,-1,1,90,7,2,1,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,0.043518519,0.399074074,1,0,0,1,0,16,9,1,15,,
,,,,,,,,,,,,,,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,0,0,0,1,1,-1,45,7,2,0,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,0.014814815,0.387962963,1,0,0,1,0,16,8,1,15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,space,2.874000072
