key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,key_resp_2.keys,key_resp_2.rt
space,0.275000095,0.175925926,0.235185185,1,0,0,13.52800012,1,0,16,10,1,15,1,1,-1,-1,1,1,1,1,1,1,-1,1,0,0,0,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,90,7,2,2,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.259259259,0.226851852,1,0,0,22.06900001,1,0,16,12,1,15,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,1,1,1,45,7,2,4,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.387037037,0.037962963,1,0,0,30.52800012,1,0,16,0,1,15,-1,1,1,0,0,0,1,1,1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,1,180,3,2,0,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.223148148,-0.158333333,1,0,0,39.20200014,1,0,16,15,1,15,1,-1,1,-1,-1,1,-1,1,1,1,1,1,0,0,0,-1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,225,7,2,7,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.377777778,0.001851852,1,0,0,47.92799997,1,0,16,4,1,15,1,1,-1,-1,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,1,180,3,2,4,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.274074074,-0.184259259,1,0,0,56.26999998,1,0,16,3,1,15,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,1,1,-1,1,1,315,3,2,3,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.298148148,0.196296296,1,0,0,64.54400015,1,0,16,7,1,15,0,0,0,1,1,1,1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,45,3,2,7,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.346296296,0.025925926,1,0,0,72.82000017,1,0,16,6,1,15,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,1,1,0,0,0,1,1,-1,0,0,0,-1,1,1,180,3,2,6,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.202777778,0.212037037,1,0,0,81.72800016,1,0,16,9,1,15,-1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,0,0,0,1,-1,-1,1,-1,1,90,7,2,1,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.213888889,-0.212962963,1,0,0,90.28700018,1,0,16,13,1,15,-1,1,1,1,1,-1,0,0,0,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,-1,225,7,2,5,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.369444444,0.062962963,1,0,0,99.18000007,1,0,16,5,1,15,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,-1,1,1,1,-1,-1,0,3,2,5,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.015740741,-0.388888889,1,0,0,107.5550001,1,0,16,2,1,15,-1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,1,-1,-1,270,3,2,2,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.228703704,-0.182407407,1,0,0,116.029,1,0,16,11,1,15,-1,-1,1,1,1,1,0,0,0,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,315,7,2,3,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.247222222,0.286111111,1,0,0,124.8210001,1,0,16,1,1,15,-1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,45,3,2,1,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.233333333,0.268518519,1,0,0,133.48,1,0,16,8,1,15,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,0,0,0,1,1,-1,45,7,2,0,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.206481481,0.244444444,1,0,0,141.8050001,1,0,16,14,1,15,-1,1,-1,-1,-1,1,0,0,0,1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,135,7,2,6,julio,2021-04-09_04h42.27.278,task,3.2.3,Win32,60,,,,,,,,,,,,,
