key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,key_resp_2.keys,key_resp_2.rt
space,14.06799984,-0.001851852,0.371296296,1,0,0,27.7750001,1,0,16,10,1,15,1,1,-1,-1,1,1,1,1,1,1,-1,1,0,0,0,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,90,7,2,2,Lluís,2021-04-09_12h45.51.017,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.001851852,-0.362962963,1,0,0,36.25700021,1,0,16,2,1,15,-1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,1,-1,-1,270,3,2,2,Lluís,2021-04-09_12h45.51.017,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.194444444,-0.27037037,1,0,0,45.0400002,1,0,16,15,1,15,1,-1,1,-1,-1,1,-1,1,1,1,1,1,0,0,0,-1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,225,7,2,7,Lluís,2021-04-09_12h45.51.017,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.296296296,0.291666667,1,0,0,53.40700006,1,0,16,8,1,15,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,0,0,0,1,1,-1,45,7,2,0,Lluís,2021-04-09_12h45.51.017,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.202777778,0.282407407,1,0,0,61.93200016,1,0,16,7,1,15,0,0,0,1,1,1,1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,45,3,2,7,Lluís,2021-04-09_12h45.51.017,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.280555556,0.239814815,1,0,0,70.25999999,1,0,16,1,1,15,-1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,45,3,2,1,Lluís,2021-04-09_12h45.51.017,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.031481481,-0.336111111,1,0,0,79.62300014,1,0,16,11,1,15,-1,-1,1,1,1,1,0,0,0,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,315,7,2,3,Lluís,2021-04-09_12h45.51.017,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.005555556,0.358333333,1,0,0,89.523,1,0,16,9,1,15,-1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,0,0,0,1,-1,-1,1,-1,1,90,7,2,1,Lluís,2021-04-09_12h45.51.017,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.331481481,0.012962963,1,0,0,98.17400002,1,0,16,4,1,15,1,1,-1,-1,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,1,180,3,2,4,Lluís,2021-04-09_12h45.51.017,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.17037037,-0.202777778,1,0,0,106.3400002,1,0,16,3,1,15,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,1,1,-1,1,1,315,3,2,3,Lluís,2021-04-09_12h45.51.017,task,3.2.3,Win32,60,,,,,,,,,,,,,
